V1,A.S. President,A.S. President,A.S. President,A.S. President,A.S. President,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. Internal VP,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Local,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. External VP - Statewide,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,A.S. Student Advocate General,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Letters,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - Engineering,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,Collegiate Senator - CCS,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. Off Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. On-Campus Senator,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,A.S. University Owned Off Campus,
R_7WLIqGkpXuyDkMd,2,1,Orci ridiculus faucibus luctus! Vulputate consequat proin aliquam blandit donec.,3,4,,2,"Laoreet eleifend. Atque quam! Erat ultrices mattis purus ac posuere fringilla laoreet, ligula.",1,,2,,,1,3,2,1,Tellus pellentesque malesuada tempora mattis in facilisis interdum aliquam vulputate cursus? Orci.,,,1,,,,,,,,,,,,,2,"Quis, id viverra metus magnis. Tincidunt orci arcu ab! Dapibus.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_6kQF32hxs4OuE2p,4,2,"Nec, aliquam dictumst, praesent urna cras eleifend arcu lacus. Iaculis lorem. Maecenas.",1,3,2,3,"Augue egestas. Ipsum? Commodo? Vehicula, diam morbi gravida tortor tincidunt sodales sodales, pede montes.",,1,,1,Leo orci tincidunt magnis? Platea faucibus. Vestibulum. Suspendisse ut dolorem. Suspendisse quam suspendisse dolor elementum.,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,"Montes. Per? Neque sit vitae id vulputate commodo, gravida. Malesuada.",,
R_cA3GqtxK7IXv7ud,2,3,"Id aenean, per eleifend curabitur auctor ultricies? Accusamus eleifend erat tortor eleifend ipsum in.",1,4,,,,,1,,1,"Interdum tellus molestie! Arcu accusamus vulputate arcu nibh erat turpis id donec, volutpat.",,,,,,2,1,,,,,,,,,,,,,,,,,1,2,Placerat ridiculus mi orci pharetra. Etiam gravida. Quis euismod metus vestibulum arcu mauris faucibus.,,6,1,7,,,,,,,,,,5,,,,3,,2,,,,,,,,,8,,4,,,,,,,,,,,,,,,,,,
R_eFGPC1sfc29h1l3,1,4,Tincidunt faucibus justo turpis magnis cursus molestie? Pretium volutpat vivamus.,3,2,,,,1,2,,,,,1,1,,,,,4,2,Etiam. Curabitur! Pharetra viverra! Accumsan nulla quam? Elementum. Dignissim. Egestas dapibus vehicula. Duis.,1,3,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,"Bibendum ab bibendum nulla montes facilisis aenean pharetra iaculis temporibus vehicula, diam urna enim atque.",2,
R_29n3eNRecWoyJal,2,4,"Wisi fermentum commodo purus pharetra, mauris metus vel sollicitudin curabitur? Eget suspendisse non.",3,1,1,2,"Mi, tempora viverra atque posuere convallis. Praesent! Metus aliquam placerat vehicula.",,3,1,2,"Phasellus, dictumst arcu? Aliquam proin eu sit non lacus accusamus metus.",,,1,3,Ligula arcu nibh diam mi sed. Ipsum vivamus eros consectetuer est felis tellus.,2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0GnnYjH20hyOLpH,4,1,Commodo phasellus per vitae primis tellus. Potenti culpa magnis vehicula. Atque magnis cursus praesent.,2,3,,2,Dui pharetra orci. Consequat integer potenti pede! Accusamus vehicula ante.,1,,,,,,,2,,,3,1,,1,Mi elementum! Interdum wisi velit augue augue. Consequat. Mauris! In tellus! Lectus nonummy.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
R_5j4XQZ8GnnrXhid,2,4,Molestie tempor eu. Lacus metus leo? Ridiculus? Donec consequat. Neque non ab purus egestas.,3,1,,1,In. Sollicitudin nulla dapibus elementum ridiculus convallis blandit vehicula egestas.,,2,2,3,Pretium etiam ante vivamus nibh. Etiam ridiculus imperdiet. Convallis molestie.,,1,1,,,2,,,,,1,,,1,Neque est interdum metus ac augue est sapien orci dui tincidunt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eff0QXO1dpa07cx,4,3,Tincidunt bibendum risus? Massa cursus in et quis. Gravida non quam sollicitudin nibh.,1,2,3,1,Posuere quam amet pretium fusce at consequat lacus ligula eget gravida aliquam sit.,2,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,5,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,
R_bq2ZaM2iUkuTnCJ,4,2,Lorem facilisis aliquam nibh eu facilisis ligula laoreet risus cras.,3,1,,2,"Eget. Integer ultrices? Gravida ante, tempora euismod. Pellentesque magna tellus dapibus.",3,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,3,1,Scelerisque? Erat! Sem rutrum. Sed natoque cursus quis sapien mauris vivamus! Proin.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eeAEyxaUNCMUCkR,1,2,Eget ipsum mauris iaculis erat nulla facilisis rutrum? Est placerat sit suspendisse lacus.,4,3,,,,1,,,1,"Pretium sodales iaculis, eu vel amet quis wisi interdum ipsum consectetuer.",,,1,4,Quis rhoncus scelerisque mauris porttitor quam. Lorem! Mauris nec sollicitudin? Commodo ligula.,3,2,,1,Sed phasellus urna wisi aliquam euismod temporibus eget facilisi sit ab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Sed? Dolor est. Eros eu temporibus! Fusce sem at natoque. Nulla wisi turpis curabitur curabitur.,,2,,,,,,,,,,
R_b462LgRBIIs6TJj,1,4,"Montes interdum eget vestibulum, accusamus a! Nullam tortor sagittis vivamus accusamus felis. Felis.",2,3,2,1,Velit ipsum. Gravida mauris tincidunt mauris commodo pharetra dapibus ullamcorper morbi viverra sollicitudin sed.,3,,,,,,1,1,,,,2,,,,,,2,1,Felis placerat pharetra mattis maecenas. Leo convallis interdum vitae sagittis vivamus.,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Faucibus laoreet temporibus! Iaculis eu velit aenean, leo maecenas faucibus in vitae montes? At.",4,,2,5,,,3,,,,,
R_838cMlfzHJLb8NL,3,2,Dictumst elit tortor? Vestibulum augue vulputate tempor urna ullamcorper viverra ipsum? Molestie! Phasellus etiam wisi.,4,1,4,1,Tortor atque fringilla in leo scelerisque dui temporibus! Urna gravida.,2,3,1,4,"Eleifend purus massa nunc nulla sagittis et! Quis nunc primis, ultrices integer dui sed.",3,2,,,,,,3,4,"Blandit? Praesent metus blandit maecenas dictumst, ultrices! Sem fusce diam ligula purus.",1,2,,,,,,,,,,,,,1,Accumsan nunc. Euismod ut augue lectus sem lacus orci mattis rhoncus? Lacus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9Wze6sAClgErUQ5,2,3,Molestie eros montes arcu facilisi malesuada nibh. At tortor luctus tempora.,4,1,,,,,,,,,,,1,3,Venenatis eget aliquam luctus diam blandit at suspendisse consectetuer. Laoreet ullamcorper ultrices. A imperdiet.,,2,3,1,Eu consectetuer et scelerisque nullam faucibus id! Lorem interdum elit.,,2,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,5,,,7,,,,,,2,8,4,,,,,3,,,,,,,,,,,,,,,,,
R_a9I7pNA7XdPUh0h,2,3,Nibh! Laoreet. Non proin lacus proin tempora at scelerisque platea sollicitudin. Placerat facilisis blandit sagittis.,4,1,,,,,,,,,,,,,,,,1,2,"Posuere, elementum sed blandit viverra. Pretium magna pretium at ligula fermentum commodo.",4,3,,,,,,,,,1,"Justo potenti, dignissim interdum eros nullam pharetra vitae. Scelerisque nunc per.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Volutpat faucibus. Metus ridiculus quam augue vehicula venenatis. Quis vel magna tempor et.,,,,5,4,3,1,,,,,
R_4NtqJqHQon7dng1,1,2,Quam nec dolor rutrum est erat purus viverra montes aliquam.,3,4,4,2,"Per justo natoque porta montes duis, metus temporibus malesuada. Dui ac eros suscipit accumsan.",3,1,,3,"Arcu, tincidunt augue dolorem lectus tempor pellentesque purus potenti mattis purus eu nunc ullamcorper a.",2,1,1,,,,,2,3,"Odio pede! Maecenas odio. Imperdiet vitae molestie posuere elementum dapibus, dapibus.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cuJM6K1SJQOx8yN,4,2,"Montes? Metus accumsan? Aenean magna, ab bibendum velit ac! Dignissim! Metus! Tempora nonummy pede.",1,3,,,,,,,,,1,,,,,,,,,,,,3,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Gravida. Turpis diam sollicitudin cras augue? Ligula, tellus primis porta. Sagittis. Erat.",1,
R_0VZM1T2GjWEDHwN,2,3,Dapibus placerat massa. Nec magna consequat fusce neque! Turpis amet atque primis cras sem culpa.,4,1,,,,,1,1,,,,,,,,,,,2,Dui etiam magnis. Morbi cras culpa blandit ridiculus nullam vulputate pede felis scelerisque viverra.,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,4,2,3,,,,,
R_bsgTlslzvzNCvxH,2,1,Tempora euismod imperdiet nunc pretium urna eu dui per maecenas mauris.,3,4,1,,,,,1,,,,,2,1,Imperdiet est eros enim urna cras cras malesuada ipsum enim felis? Diam ac vitae lacus.,3,,3,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_4T7jD9GureZvYnb,3,4,Vivamus suspendisse commodo cras turpis et. Luctus curabitur eros dictumst per lectus bibendum auctor.,2,1,,,,,,2,,,3,1,1,3,"Ullamcorper. Dignissim. Phasellus magna quam, venenatis auctor amet. Cras, ut. Montes elementum leo! Pede.",,2,,,,,1,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Non eros pellentesque etiam lectus bibendum! Turpis a dapibus tempor.,,4,,1,3,,2,,,,,
R_5jyYNTKmxcpjVbv,4,1,Sed sed arcu. Pretium mauris vehicula. Accusamus elit vivamus? Eu tempora enim iaculis montes.,2,3,4,2,Aenean! Eleifend ligula cursus tempus interdum sed sem proin? Non accumsan commodo metus morbi auctor.,1,3,,,,,1,,,,,,2,3,Lacus est eros. A suscipit venenatis nec? At est iaculis natoque posuere.,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
R_0jujBRGMP4uQHGd,4,2,Primis. Nec facilisis per non volutpat urna consequat. Integer dignissim! Facilisis.,3,1,2,1,"Platea, id? Velit commodo gravida sodales pretium per. Suspendisse sapien platea.",,3,3,4,"Vestibulum elit ullamcorper a, velit praesent. Lacus turpis. Molestie pellentesque.",1,2,3,1,"Imperdiet quis fermentum commodo facilisis. Facilisis! Erat porttitor accusamus, ut praesent magna sodales.",2,4,1,2,"Amet! Integer atque. Augue magna. Ridiculus. Donec. Placerat, gravida tortor erat, placerat massa.",,3,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_d1fJVOUIGEFs9xj,3,2,Aliquam duis! Turpis. Elementum donec tempora in vitae euismod sed.,1,4,1,,,2,,4,2,"Consequat volutpat, donec interdum, quam ac et eget imperdiet non sem pede. Felis bibendum in.",3,1,,,,1,,,,,,,,,,,,,,,,,,2,3,Laoreet facilisis eleifend? Vehicula suscipit eros turpis rhoncus eleifend. Nec ullamcorper.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eIZDYnNXEfQNJ9H,1,4,Euismod magna cursus facilisi. Cras montes massa mi potenti natoque.,3,2,,1,Ultrices maecenas mauris ultricies iaculis mi arcu pellentesque vulputate tempus.,2,,1,4,Dui! Sagittis ridiculus gravida tempora ipsum et dolor pretium dolor neque.,2,3,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_23FWDeZpY4U5Vd3,2,3,"Dapibus! Suscipit risus erat, maecenas elit! Aenean ridiculus. Suspendisse? Placerat eget potenti molestie.",4,1,2,1,Phasellus vel rhoncus leo pretium ipsum quis. Tincidunt donec convallis imperdiet.,4,3,,,,,1,,,,1,2,1,,,,,,,,,,,,,1,"Integer lacus culpa, neque et convallis. Fringilla. Duis ridiculus pellentesque vehicula pellentesque.",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_cMYmiQbMl9eGxhj,2,4,Id luctus ligula duis. In pretium sollicitudin bibendum rhoncus fringilla praesent.,1,3,,,,,,,3,Tempus aliquam tempus donec. Ipsum nonummy cursus? Bibendum eleifend viverra mi nonummy tellus.,1,2,4,3,"Suscipit justo dignissim sed nonummy quis. Ultricies purus, vivamus molestie imperdiet cursus.",2,1,1,,,,,,,,,,,,,,,,,1,Ab porta magnis. Sagittis nonummy suscipit laoreet. Lectus fermentum eleifend posuere.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,3,,,,,
R_9AyPK2E9E6QzsNL,3,1,Aliquet platea lectus a porttitor et? Montes laoreet accusamus mattis.,2,4,1,,,,,4,1,Duis. Etiam? Vitae bibendum porttitor vestibulum! Vulputate mi etiam vivamus.,3,2,,1,Ac? Sem suscipit eu! Vivamus? Arcu facilisis facilisi rhoncus euismod.,,,4,2,Dui sodales. Suspendisse vel nullam malesuada turpis tincidunt blandit felis pretium tortor vitae? Dolorem.,3,1,,,,,,,,,,,,2,3,"Ante nullam dapibus facilisis morbi. Ligula risus vestibulum eros eu venenatis, ultricies.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_40f5xJR2SggM79r,3,1,Cras dolorem! Ab ante auctor. Lacus vel et potenti lacus.,4,2,,,,,,,,,,,1,2,Vitae erat! Eros venenatis sapien phasellus wisi urna suscipit mi.,3,4,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,1,,,,,,,,3,Bibendum. Morbi ipsum erat nibh morbi wisi auctor venenatis iaculis.,,,,,,,,,,,,,,
R_6fDy4lXVwussnTn,1,4,"Turpis, wisi! Montes est eget imperdiet euismod rutrum ac! Magna porttitor per. Nulla.",2,3,,,,,,1,2,"Euismod. Nullam luctus duis porttitor. Nulla. Lorem platea. Euismod, ultrices, imperdiet.",,,2,1,"Curabitur posuere primis. Velit sit. Interdum molestie ullamcorper a, dignissim ipsum arcu.",,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3jzw0cs8tDOvQ8t,1,3,Aenean tellus duis montes amet. Primis. Enim convallis mi? Quam accusamus.,2,4,,,,,1,,1,Commodo odio sit tortor! Velit per odio potenti laoreet tempora! Purus. Rutrum proin sem.,,,,1,"Facilisi! Dolorem ultricies? Natoque. Lorem volutpat aliquet ante, elit faucibus.",,,,,,,,,1,"Interdum porttitor metus euismod! Montes scelerisque laoreet fusce tellus risus. Sed, pede.",,,,,,,,,,,,,3,,6,,1,,7,,,,,,,,,,4,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,
R_3EE4gT5V4SHqBOl,2,3,"Laoreet interdum suscipit ultricies, fringilla dolorem fermentum vulputate phasellus ridiculus.",1,4,3,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,1,,3,,,,,
R_dd6eWirkgnlt2QZ,2,4,Ultrices elementum placerat facilisis justo. Dolor? Consectetuer malesuada non! Primis ante! Felis facilisis quam.,3,1,2,3,Sed dui enim mi lacus non rhoncus. Suscipit. Phasellus. Nec elementum tellus commodo vivamus? Sodales.,4,1,4,3,Nibh aenean blandit non. Interdum. Ante nibh proin mattis sit montes pede nonummy.,1,2,2,,,1,,2,1,"Rutrum euismod lorem risus sem vehicula leo dolor donec, rhoncus dolor. Aliquam.",3,,,1,"Consectetuer etiam ab eget orci, vulputate duis, laoreet. Dictumst duis fringilla placerat rutrum? Ridiculus. Amet.",3,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
R_7TVfgKgIJ1TVqOp,4,2,"Cras mauris, id proin commodo ipsum fusce quam dignissim sollicitudin potenti bibendum molestie vehicula elementum.",3,1,1,4,"Laoreet? Interdum tincidunt amet ante eros vel malesuada accusamus, consequat aliquam.",3,2,1,3,"Leo mattis consectetuer id malesuada aliquet morbi! Suscipit ultrices ipsum facilisis dapibus fermentum amet, ultrices.",2,,,,,,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3E3E8pkGU5joYzH,4,1,Ut massa orci vehicula eros ab et eget primis venenatis? Mauris.,3,2,,,,,,1,,,,,,,,2,1,4,1,"Wisi velit metus sed mauris auctor accusamus dui, quam potenti.",3,2,,,,,,,,,1,"Sed leo consequat convallis! Id, ullamcorper in sollicitudin suspendisse? Nibh.",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,1,,,,,,,,,,,,,,,,,,,
R_aW9T7dCItlplOcJ,3,4,Tincidunt! Mauris! Est? Laoreet convallis viverra erat magna sollicitudin bibendum sit laoreet elementum sem.,2,1,1,4,Rutrum pretium. Justo montes vivamus mauris tempus cras quis et neque curabitur bibendum ridiculus.,3,2,,2,Quam dictumst praesent imperdiet per sagittis sagittis accusamus mauris ridiculus.,,1,,2,"Platea diam venenatis! At erat non vel egestas tempus, per magnis.",1,,2,,,,1,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
R_b3eEKCEwgYeY83b,3,4,Praesent eget suscipit nunc id potenti vivamus temporibus morbi dignissim aliquet ab ac primis.,2,1,,,,,1,2,1,"Praesent et sed augue vivamus. Suscipit ultricies dictumst interdum ullamcorper ac aenean, ipsum neque praesent.",3,,1,2,Accumsan porta per turpis purus sollicitudin porttitor urna natoque scelerisque vel a ultrices.,4,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_9yv92pblkYqH8sR,1,2,Culpa. Tortor vivamus natoque? Consequat per felis elementum eleifend? Orci integer arcu. Magnis primis.,3,4,4,1,"Dignissim euismod accusamus! Sagittis sed. Aliquet magna dui, odio, porttitor. Vehicula proin pretium.",2,3,,1,Diam nec. Dui ligula ultrices vel. Aenean rhoncus. Lacus facilisis bibendum? Sit aliquam.,,,,1,Imperdiet eleifend consequat amet? Wisi? Aenean massa. Vehicula fringilla montes ullamcorper porta potenti cursus tortor.,2,3,3,1,"Natoque nunc, rhoncus nibh lacus nec diam pharetra euismod ante magnis magnis fusce.",,2,,,,,,,,,,,,,,,,,,,,5,,3,,,6,1,4,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5uvoVFGhm64jXU1,4,3,Gravida. Tincidunt interdum? Ante risus potenti. Ullamcorper morbi eleifend dapibus orci.,1,2,4,1,"Ullamcorper eget maecenas consequat? Elit sodales non, porttitor interdum! Elit luctus sed. Elit consectetuer! Fusce.",2,3,,,,,1,,1,"Erat odio ligula, tellus phasellus sapien. Dolorem faucibus ante ligula posuere pede, dapibus volutpat.",,,1,4,"Orci praesent, duis facilisis! Neque pellentesque morbi praesent! In morbi fermentum velit posuere.",3,2,,,,,,,,,,,,,,,,,3,,12,,6,4,,9,,7,,,10,,,,,,,5,2,,,,,,,,11,8,1,,,,,,,,,,,,,,,,
R_5mORus0F6Tbsc9n,2,1,Vivamus. In primis eu. Porttitor blandit vehicula elementum? Nibh quis. At phasellus.,4,3,,3,"Maecenas potenti molestie dui ligula mi pharetra. Turpis dictumst vestibulum. Consectetuer, tempora placerat.",2,1,3,1,Vulputate posuere gravida gravida lectus aenean. Dictumst integer nec interdum magna eros convallis posuere.,,2,,,,,,3,1,"Molestie. Fermentum dui pede neque per cursus felis, scelerisque sit enim gravida ac per risus.",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Metus euismod magnis luctus. Interdum dignissim et molestie magna tortor.,3,
R_3sAqZJMXga4qTVb,2,3,Cursus magnis integer nonummy fringilla! Morbi egestas dolorem interdum cras dignissim! Ac.,4,1,,,,,1,2,1,Pellentesque eget. Sollicitudin platea ultrices felis! Montes fringilla sem luctus commodo duis consectetuer.,,3,,,,,1,2,1,"Risus duis phasellus, temporibus primis viverra cursus diam proin, dolorem mi tellus.",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,"Fermentum, bibendum? Scelerisque purus platea. Magna, pharetra pellentesque. Pharetra facilisis.",,
R_3TPv4jTgZ0vDxZz,2,1,"Et. Lectus vitae magnis urna lacus sed aliquam, augue dapibus.",4,3,,1,Etiam mi massa purus sagittis. Quis tempus. Metus purus in mauris tempus atque maecenas.,2,,,,,,,1,4,Magna aliquet auctor a euismod! Suspendisse neque! Felis ultrices magnis rutrum consectetuer.,3,2,,2,"Vehicula magnis mauris venenatis rhoncus elit etiam, temporibus justo! Facilisi.",1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Magna ac sapien leo sollicitudin est placerat, ridiculus lectus viverra.",2,5,,1,,4,,,,,,
R_3VITfhQBIz42O5n,2,3,Aliquam proin sem lorem odio consectetuer eu proin mi primis? Primis. Nunc lacus.,1,4,,,,2,1,2,3,"Metus a montes turpis amet. Sagittis, atque porttitor nonummy dolorem. Pede.",1,,,3,Aliquam turpis fusce montes massa nec orci faucibus duis phasellus eget per lectus.,2,1,3,1,"Fermentum! Ridiculus. Commodo urna, felis vulputate donec quis quis fermentum pellentesque lacus? Massa magnis.",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_6RVaTPZTYOEwqOx,4,3,Cursus facilisi! Mi pellentesque duis. Dolorem et purus. Faucibus volutpat? Non maecenas orci. Scelerisque.,1,2,,1,Turpis montes pharetra curabitur duis magnis lorem est nullam rhoncus. Duis tortor mi etiam odio.,,2,,2,"Orci eu morbi egestas, potenti sagittis elementum. Laoreet orci etiam lectus donec non auctor.",1,3,,1,Lorem tempus purus maecenas nec arcu integer eleifend augue. Ab arcu.,,,2,1,Accumsan sed nunc duis eget id id vitae rhoncus urna dapibus. Eros? Fringilla.,3,,,,,,,,,,1,Turpis et lectus vel iaculis? Ridiculus a tempora lectus iaculis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_0TjCdyBE3N0pZYh,3,1,Placerat. Morbi euismod dictumst dapibus nonummy maecenas eleifend aenean! Maecenas.,2,4,1,2,Porttitor gravida! Id tincidunt etiam proin sed praesent metus. Temporibus nullam in iaculis suscipit.,3,,,,,,,2,,,1,,1,2,Nec bibendum dapibus donec morbi vehicula nonummy enim orci tempora orci? Consequat.,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
R_eu1g51AbAT3Y3qt,4,3,Malesuada ab risus laoreet duis! Magnis montes gravida ultrices nullam.,1,2,,,,,,,,,,,1,4,Ante ipsum. Diam pede tempora scelerisque curabitur orci dolor accumsan nec ultricies gravida.,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,At consequat pellentesque erat elementum euismod lacus eleifend risus. Consequat lectus.,4,,,,3,,2,,,,,
R_8fbpPkvIFOzieDr,3,2,Luctus ab erat metus laoreet lectus donec at tempor odio.,4,1,1,2,Interdum potenti per magna gravida porttitor auctor magnis rhoncus arcu maecenas neque scelerisque.,4,3,,,,2,1,1,2,Vitae wisi commodo erat et leo erat ac. Auctor placerat. Nulla malesuada? Temporibus. Pharetra.,4,3,,1,"Nonummy! Arcu vehicula scelerisque, sit per quam urna ullamcorper euismod, diam? Sollicitudin dolorem viverra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,
R_byACTwV4lcdqRfL,4,1,Non maecenas aenean in porta. Pretium felis facilisis. Mi consequat dolor. Dictumst nec aliquet.,3,2,1,3,Ac per elementum molestie ac? Ullamcorper ut! Morbi. Rhoncus magnis egestas! Est laoreet etiam aenean.,2,,2,4,Integer erat magna! Interdum vitae in potenti risus tortor mauris. Venenatis.,1,3,2,,,,1,,,,,,,,,,,,,3,1,Tempora. Faucibus. Quam consequat sed imperdiet cursus. Vivamus malesuada magna risus cras cras.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
